replicate,modality,packageDepth,representation,endpoint,cloneCount,partitionSize,singletonFibers,pureFibers,mixedFibers,clonesInMixedFibers,maximumFutureImageCardinality,majorityResidual,discordantClonePairCount,futurePairVisibility,recovers,stateInjective,nontrivialCompression
r1,MULTI,5,orderedHistory,majorityDay21Fate,17,17,17,17,0,0,1,0,0,0,True,True,False
r1,MULTI,5,orderedHistory,fateBreadth,17,17,17,17,0,0,1,0,0,0,True,True,False
r2,RNA,0,orderedHistory,fineDay21Fate,159,1,0,0,1,159,49,106,10602,1176,False,False,True
r2,RNA,0,orderedHistory,sourceGroupedDay21Fate,159,1,0,0,1,159,27,61,7487,351,False,False,True
r2,RNA,0,orderedHistory,majorityDay21Fate,159,1,0,0,1,159,3,78,7803,3,False,False,True
r2,RNA,0,orderedHistory,fateBreadth,159,1,0,0,1,159,3,58,6650,3,False,False,True
r2,ATAC,0,orderedHistory,fineDay21Fate,35,1,0,0,1,35,12,19,463,66,False,False,True
r2,ATAC,0,orderedHistory,sourceGroupedDay21Fate,35,1,0,0,1,35,7,13,352,21,False,False,True
r2,ATAC,0,orderedHistory,majorityDay21Fate,35,1,0,0,1,35,3,17,372,3,False,False,True
r2,ATAC,0,orderedHistory,fateBreadth,35,1,0,0,1,35,3,13,308,3,False,False,True
r2,MULTI,0,orderedHistory,fineDay21Fate,24,1,0,0,1,24,11,16,241,55,False,False,True
r2,MULTI,0,orderedHistory,sourceGroupedDay21Fate,24,1,0,0,1,24,7,10,180,21,False,False,True
r2,MULTI,0,orderedHistory,majorityDay21Fate,24,1,0,0,1,24,3,15,189,3,False,False,True
r2,MULTI,0,orderedHistory,fateBreadth,24,1,0,0,1,24,3,11,161,3,False,False,True
r2,RNA,1,orderedHistory,fineDay21Fate,159,35,15,16,19,141,11,87,653,259,False,False,True
r2,RNA,1,orderedHistory,sourceGroupedDay21Fate,159,35,15,19,16,132,7,53,467,108,False,False,True
r2,RNA,1,orderedHistory,majorityDay21Fate,159,35,15,19,16,133,3,62,458,34,False,False,True
r2,RNA,1,orderedHistory,fateBreadth,159,35,15,20,15,130,3,50,432,31,False,False,True
r2,ATAC,1,orderedHistory,fineDay21Fate,35,34,33,33,1,2,2,1,1,1,False,False,True
r2,ATAC,1,orderedHistory,sourceGroupedDay21Fate,35,34,33,34,0,0,1,0,0,0,True,False,True
