replicate,modality,packageDepth,endpoint,snapshotResidual,historyResidual,snapshotMixedFibers,historyMixedFibers,snapshotPartitionSize,historyPartitionSize,snapshotFateCollisions,historyFateCollisions
r2,RNA,2,majorityDay21Fate,53,25,27,16,68,114,187,55
r2,RNA,2,fateBreadth,39,28,24,20,68,114,141,60
r2,ATAC,2,fineDay21Fate,3,0,1,0,29,35,15,0
r2,ATAC,2,sourceGroupedDay21Fate,2,0,1,0,29,35,11,0
r2,ATAC,2,majorityDay21Fate,3,0,1,0,29,35,14,0
r2,ATAC,2,fateBreadth,2,0,1,0,29,35,10,0
r2,MULTI,2,fineDay21Fate,0,0,0,0,24,24,0,0
r2,MULTI,2,sourceGroupedDay21Fate,0,0,0,0,24,24,0,0
r2,MULTI,2,majorityDay21Fate,0,0,0,0,24,24,0,0
r2,MULTI,2,fateBreadth,0,0,0,0,24,24,0,0
r2,RNA,4,fineDay21Fate,28,7,21,6,125,152,45,8
r2,RNA,4,sourceGroupedDay21Fate,20,5,18,4,125,152,31,6
r2,RNA,4,majorityDay21Fate,21,5,18,5,125,152,36,6
r2,RNA,4,fateBreadth,16,5,14,5,125,152,28,6
r2,ATAC,4,fineDay21Fate,3,0,1,0,30,35,12,0
r2,ATAC,4,sourceGroupedDay21Fate,2,0,1,0,30,35,9,0
r2,ATAC,4,majorityDay21Fate,3,0,1,0,30,35,11,0
r2,ATAC,4,fateBreadth,2,0,1,0,30,35,8,0
r2,MULTI,4,fineDay21Fate,0,0,0,0,24,24,0,0
r2,MULTI,4,sourceGroupedDay21Fate,0,0,0,0,24,24,0,0
r2,MULTI,4,majorityDay21Fate,0,0,0,0,24,24,0,0
r2,MULTI,4,fateBreadth,0,0,0,0,24,24,0,0
r2,RNA,5,fineDay21Fate,10,0,8,0,146,159,16,0
r2,RNA,5,sourceGroupedDay21Fate,7,0,7,0,146,159,11,0
r2,RNA,5,majorityDay21Fate,7,0,6,0,146,159,13,0
r2,RNA,5,fateBreadth,6,0,6,0,146,159,10,0
r2,ATAC,5,fineDay21Fate,3,0,1,0,30,35,12,0
r2,ATAC,5,sourceGroupedDay21Fate,2,0,1,0,30,35,9,0
r2,ATAC,5,majorityDay21Fate,3,0,1,0,30,35,11,0
r2,ATAC,5,fateBreadth,2,0,1,0,30,35,8,0
r2,MULTI,5,fineDay21Fate,0,0,0,0,24,24,0,0
r2,MULTI,5,sourceGroupedDay21Fate,0,0,0,0,24,24,0,0
r2,MULTI,5,majorityDay21Fate,0,0,0,0,24,24,0,0
r2,MULTI,5,fateBreadth,0,0,0,0,24,24,0,0
