carrier,candidate,family,package,description,decisionEligible,retrospectiveOutcomeOptimized,terminalLeakage,lineageIdentityLeakage,immediateCoarsening,carrierCount,quotientCardinality,compressionRatio,normalizedCompression,singletonFiberCount,nonSingletonFiberCount,lineagesInSingletonFibers,lineagesInNonSingletonFibers,sharedCompressionCoverage,maximumFiberSize,meanNonSingletonFiberSize,medianNonSingletonFiberSize,fateObjectsRepresentedByMultipleLineages,mixedFiberCount,lineagesInMixedFibers,maximumFateImageCardinality,majorityResidual,discordantPairCount,exactRecovery,nontrivialCompression,sharedCompression,fiberSpectrum
H03,P5_twelveProjectionDistribution.prefix.reverse.3,coordinate_deletion,P5_twelveProjectionDistribution,"retain (11, 10, 9)",True,False,False,False,P5_twelveProjectionDistribution.prefix.reverse.2,1183,1076,1.0994423791821561,0.09044801352493659,985,91,985,198,0.16737109044801352,6,2.1758241758241756,2,2,70,156,5,80,103,False,True,True,1:985;2:79;3:10;4:1;6:1
H03,P2_eightProjectionState.prefix.oddThenEven.5,coordinate_deletion,P2_eightProjectionState,"retain (1, 3, 5, 7, 0)",True,False,False,False,P2_eightProjectionState.prefix.oddThenEven.4,1183,1091,1.084326306141155,0.0777683854606932,1028,63,1028,155,0.13102282333051563,9,2.4603174603174605,2,1,54,137,6,76,139,False,True,True,1:1028;2:49;3:9;4:1;5:1;6:2;9:1
H03,P5_twelveProjectionDistribution.prefix.source.3,coordinate_deletion,P5_twelveProjectionDistribution,"retain (0, 1, 2)",True,False,False,False,P5_twelveProjectionDistribution.prefix.source.2,1183,1098,1.0774134790528234,0.07185122569737956,1030,68,1030,153,0.1293322062552832,9,2.25,2.0,2,51,118,8,64,103,False,True,True,1:1030;2:59;3:6;4:2;9:1
H03,P5_twelveProjectionDistribution.prefix.evenThenOdd.3,coordinate_deletion,P5_twelveProjectionDistribution,"retain (0, 2, 4)",True,False,False,False,P5_twelveProjectionDistribution.prefix.evenThenOdd.2,1183,1111,1.0648064806480648,0.0608622147083685,1054,57,1054,129,0.10904480135249366,7,2.263157894736842,2,2,44,102,6,53,77,False,True,True,1:1054;2:47;3:8;4:1;7:1
H03,P4_twelveProjectionState.prefix.reverse.5,coordinate_deletion,P4_twelveProjectionState,"retain (11, 10, 9, 8, 7)",True,False,False,False,P4_twelveProjectionState.prefix.reverse.4,1183,1121,1.055307760927743,0.052409129332206206,1074,47,1074,109,0.09213863060016907,6,2.3191489361702127,2,2,41,97,5,52,77,False,True,True,1:1074;2:38;3:6;4:1;5:1;6:1
H03,P2_eightProjectionState.prefix.evenThenOdd.5,coordinate_deletion,P2_eightProjectionState,"retain (0, 2, 4, 6, 1)",True,False,False,False,P2_eightProjectionState.prefix.evenThenOdd.4,1183,1127,1.049689440993789,0.047337278106508895,1078,49,1078,105,0.08875739644970414,5,2.142857142857143,2,1,42,91,4,46,56,False,True,True,1:1078;2:44;3:4;5:1
H03,P5_twelveProjectionDistribution.prefix.oddThenEven.4,coordinate_deletion,P5_twelveProjectionDistribution,"retain (1, 3, 5, 7)",True,False,False,False,P5_twelveProjectionDistribution.prefix.oddThenEven.3,1183,1145,1.0331877729257641,0.03212172442941674,1118,27,1118,65,0.054945054945054944,5,2.4074074074074074,2,2,24,59,5,35,53,False,True,True,1:1118;2:21;3:3;4:1;5:2
H03,P2_eightProjectionState.quantize.middleVsOther,quantization,P2_eightProjectionState,middleVsOther,True,False,False,False,,1183,1151,1.0278019113814074,0.02704987320371932,1122,29,1122,61,0.05156382079459002,3,2.103448275862069,2,2,20,42,3,22,24,False,True,True,1:1122;2:26;3:3
H03,P2_eightProjectionState.prefix.evenThenOdd.6,coordinate_deletion,P2_eightProjectionState,"retain (0, 2, 4, 6, 1, 3)",True,False,False,False,P2_eightProjectionState.prefix.evenThenOdd.5,1183,1157,1.0224719101123596,0.02197802197802201,1136,21,1136,47,0.039729501267962805,5,2.238095238095238,2,1,17,39,4,20,28,False,True,True,1:1136;2:18;3:2;5:1
H03,P5_twelveProjectionDistribution.prefix.evenThenOdd.4,coordinate_deletion,P5_twelveProjectionDistribution,"retain (0, 2, 4, 6)",True,False,False,False,P5_twelveProjectionDistribution.prefix.evenThenOdd.3,1183,1159,1.0207075064710958,0.020287404902789463,1136,23,1136,47,0.039729501267962805,3,2.0434782608695654,2,2,13,26,2,13,13,False,True,True,1:1136;2:22;3:1
