lineage_id,replicate1_counts,replicate2_counts,replicate1_fate,replicate2_fate,pooled_counts,pooled_fate,replicate1_total,replicate2_total,concordant,discordant,replicate1_support,replicate2_support
39dd4bb9a3c18a57668b,0:0:3,0:0:2,0:0:1,0:0:1,0:0:5,0:0:1,3,2,True,False,001,001
39e42667ea8e8e71fbf7,1:1:1,1:1:0,1:1:1,1:1:0,2:2:1,2:2:1,3,2,False,True,111,110
3a183f9ab31399006fc2,0:0:1,0:0:1,0:0:1,0:0:1,0:0:2,0:0:1,1,1,True,False,001,001
3a309760c4708b68d4be,0:0:1,1:0:1,0:0:1,1:0:1,1:0:2,1:0:2,1,2,False,True,001,101
3a6f1478d0049eabed7a,0:0:6,0:0:1,0:0:1,0:0:1,0:0:7,0:0:1,6,1,True,False,001,001
3a71de2c2883db3f3106,0:2:0,0:1:0,0:1:0,0:1:0,0:3:0,0:1:0,2,1,True,False,010,010
3ab1d618af24a8a7e016,0:0:1,0:0:2,0:0:1,0:0:1,0:0:3,0:0:1,1,2,True,False,001,001
3ac1e3eb4c6f9eb27938,0:0:3,0:0:1,0:0:1,0:0:1,0:0:4,0:0:1,3,1,True,False,001,001
3add6fe1f3565c20e108,0:0:1,0:2:4,0:0:1,0:1:2,0:2:5,0:2:5,1,6,False,True,001,011
3b07f3bbbd6722c22df1,26:8:0,51:5:0,13:4:0,51:5:0,77:13:0,77:13:0,34,56,False,True,110,110
3b8dd0e7c23dc7771480,0:2:0,0:1:0,0:1:0,0:1:0,0:3:0,0:1:0,2,1,True,False,010,010
3bca3152eacf0a7bab68,0:1:0,0:1:0,0:1:0,0:1:0,0:2:0,0:1:0,1,1,True,False,010,010
3bdec229f2b4aac59319,0:0:3,0:0:1,0:0:1,0:0:1,0:0:4,0:0:1,3,1,True,False,001,001
3c0ff3aca90ddc37f67d,0:1:0,0:1:0,0:1:0,0:1:0,0:2:0,0:1:0,1,1,True,False,010,010
3c30072e5afeba24c183,2:2:1,7:3:0,2:2:1,7:3:0,9:5:1,9:5:1,5,10,False,True,111,110
3c48996924151c23cfb7,0:0:2,0:0:2,0:0:1,0:0:1,0:0:4,0:0:1,2,2,True,False,001,001
3c7e5debc594496f2736,0:0:1,0:0:1,0:0:1,0:0:1,0:0:2,0:0:1,1,1,True,False,001,001
3c9675e06bef3b9786cf,0:0:4,0:0:1,0:0:1,0:0:1,0:0:5,0:0:1,4,1,True,False,001,001
3c9d02af8ec154728191,0:1:6,0:1:1,0:1:6,0:1:1,0:2:7,0:2:7,7,2,False,True,011,011
3cc4f64559d13987b341,0:2:1,0:5:1,0:2:1,0:5:1,0:7:2,0:7:2,3,6,False,True,011,011
3ccd8bcb6fec9ad23374,0:2:0,1:4:0,0:1:0,1:4:0,1:6:0,1:6:0,2,5,False,True,010,110
3cd6dff3d859f6b7e05c,1:2:0,1:4:0,1:2:0,1:4:0,2:6:0,1:3:0,3,5,False,True,110,110
3d08a84b4a9881aa3f60,0:1:0,0:1:0,0:1:0,0:1:0,0:2:0,0:1:0,1,1,True,False,010,010
3d206e8cd6704931fab6,0:0:2,0:0:1,0:0:1,0:0:1,0:0:3,0:0:1,2,1,True,False,001,001
3d3bd40b473265a8be45,0:6:0,0:1:0,0:1:0,0:1:0,0:7:0,0:1:0,6,1,True,False,010,010
