classResolutionArea,pairDiscriminationArea,lineagePersistenceArea,giantHalfDepth,giantQuarterDepth,iteration,criticalSupportCount
107.50000000000013,109.82205513784464,69.63870967741926,1,2,0,19
107.63684210526321,109.81576162628802,70.04451612903219,1,2,1,16
107.54210526315815,109.82812587023113,69.73612903225806,1,2,2,17
107.6315789473687,109.8548036758563,69.61354838709686,1,2,3,17
107.6368421052633,109.84711779448627,69.29806451612887,1,1,4,17
107.64210526315811,109.85541631857421,69.7903225806451,1,2,5,15
107.65789473684225,109.85112781954892,69.44903225806449,1,2,6,16
107.50526315789502,109.81776663881928,68.40064516129043,1,2,7,19
107.45263157894753,109.83842940685048,69.35935483870972,1,2,8,17
107.48947368421082,109.85368978000557,69.27096774193545,1,2,9,17
107.55789473684231,109.86750208855473,69.31612903225796,1,2,10,16
107.62105263157913,109.88265107212476,69.9141935483872,1,2,11,17
107.6157894736844,109.9169590643275,70.40516129032254,1,1,12,17
107.78947368421069,109.91038707880816,69.35032258064517,1,1,13,16
107.55789473684231,109.82595377332223,69.576129032258,1,2,14,19
107.64736842105283,109.83959899749377,68.69354838709678,1,1,15,19
107.57894736842134,109.88538011695906,68.91354838709671,1,2,16,16
107.53684210526333,109.86805903648012,70.05870967741939,1,2,17,17
107.52105263157905,109.85736563631308,68.79677419354837,1,2,18,18
107.51578947368445,109.80022277917016,69.0780645161291,1,2,19,16
107.65263157894753,109.85619604566975,69.75870967741936,1,1,20,17
107.53157894736863,109.80896686159845,69.27548387096785,1,2,21,18
107.61052631578961,109.85625174046231,68.87870967741931,1,2,22,16
107.58947368421074,109.82495126705653,69.84580645161293,1,2,23,18
107.56842105263186,109.8129768866611,68.36903225806446,1,2,24,19
107.65789473684221,109.8546365914788,69.15032258064512,1,2,25,16
107.70000000000013,109.87908660540246,68.69870967741925,1,1,26,19
107.53684210526328,109.86794764689506,70.18838709677411,1,2,27,18
107.55263157894757,109.87251461988308,68.53032258064506,1,2,28,19
107.68947368421072,109.87992202729046,69.63161290322584,1,2,29,17
107.52631578947383,109.9116680590365,70.4335483870967,1,2,30,18
107.69473684210541,109.87813979392931,69.82903225806447,1,1,31,17
107.63684210526336,109.83792815371766,69.1232258064516,1,2,32,16
107.5315789473687,109.83263714842663,69.11741935483882,1,2,33,17
107.51052631578969,109.82445001392371,69.61096774193534,1,2,34,18
107.55263157894753,109.83703703703706,69.77161290322593,1,2,35,17
107.68947368421074,109.89479253689782,69.10064516129029,1,1,36,18
107.42105263157909,109.80211640211644,69.72838709677417,1,2,37,17
107.62631578947388,109.86655527708163,68.63290322580636,1,2,38,15
107.51578947368448,109.84605959342802,69.27483870967754,1,2,39,16
107.60000000000016,109.87323865218606,69.15870967741928,1,2,40,16
107.65789473684231,109.8768031189084,70.21290322580643,1,2,41,17
107.53684210526332,109.87234753550547,69.96322580645159,1,2,42,17
107.66315789473707,109.83475355054306,68.73612903225808,1,2,43,17
107.71052631578975,109.86343636869952,68.70903225806461,1,2,44,18
107.53157894736862,109.82378167641326,69.3406451612902,1,2,45,16
107.45263157894752,109.81280980228354,69.40064516129021,1,2,46,18
107.57368421052654,109.85781119465332,69.24258064516117,1,2,47,19
107.6052631578949,109.8503480924534,68.54,1,2,48,17
107.61052631578966,109.86143135616824,68.96258064516127,1,2,49,19
107.63157894736862,109.83525480367588,69.27354838709668,1,2,50,17
107.50526315789486,109.85853522695632,69.99806451612912,1,2,51,18
107.57894736842124,109.85352269562797,69.90064516129014,1,2,52,17
107.61052631578964,109.84678362573104,69.08967741935486,1,2,53,18
107.68421052631598,109.82717905875808,69.01935483870959,1,1,54,17
107.43684210526337,109.87145641882489,71.17354838709672,1,1,55,17
107.51578947368446,109.86950710108607,69.73032258064518,1,2,56,16
107.71578947368447,109.86115288220553,68.87419354838725,1,2,57,17
107.56842105263173,109.81442495126711,68.53225806451604,1,2,58,17
107.56315789473709,109.83107769423559,69.38193548387102,1,2,59,18
107.65789473684238,109.86649958228905,70.05677419354835,1,1,60,16
107.56315789473705,109.89128376496798,70.11999999999992,1,2,61,17
107.55263157894758,109.8594263436369,68.83999999999999,1,2,62,18
107.5368421052633,109.84043441938184,69.14709677419354,1,2,63,16
107.68421052631585,109.84745196324153,69.72516129032256,1,1,64,15
107.66315789473707,109.85586187691452,68.97483870967743,1,2,65,18
107.61052631578968,109.85279866332499,69.20709677419357,1,2,66,17
107.48947368421076,109.84778613199667,69.45548387096781,1,2,67,19
107.60000000000025,109.85502645502648,69.06129032258069,1,2,68,18
