bank,profileArea,molecularStateCount
0,2.317518336828199,971
1,0.6287872036233791,4412
2,0.2348706986348499,7197
3,6.0479427231879255,108
4,0.9040971128217009,3212
5,0.6675478811417536,4292
6,0.1575140212781342,8250
7,0.1680316191805296,8182
8,0.08914489336244001,9029
9,1.5452183756549729,1862
10,1.6287878697013805,1860
11,1.4895573993562874,1840
12,0.2485943712852867,7240
13,2.1683867282939064,1265
14,1.002922861233466,3207
15,0.08756410427502692,9212
